IP,Subject_CN,Issuer_CN,Sig_Algo,Pubkey_Type,Pubkey_Bits,NotAfter,SAN,source
,alumni.unc.edu,"C=US, O=GeoTrust Inc., OU=Domain Validated SSL, CN=GeoTrust DV SSL CA",,,,2013-07-25T08:27:22,alumni.unc.edu,crtsh
,alumni.tjsl.edu,"C=US, O=""Thawte, Inc."", OU=Domain Validated SSL, CN=Thawte DV SSL CA",,,,2013-10-18T23:59:59,alumni.tjsl.edu,crtsh
,studentemployment.bowdoin.edu,"C=US, ST=Arizona, L=Scottsdale, O=""GoDaddy.com, Inc."", OU=http://certificates.godaddy.com/repository, CN=Go Daddy Secure Certification Authority, serialNumber=07969287",,,,2013-12-02T21:14:33,studentemployment.bowdoin.edu;www.studentemployment.bowdoin.edu,crtsh
,wiki.calvin.edu,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign Organization Validation CA - G2",,,,2013-12-12T21:27:02,wiki.calvin.edu,crtsh
,bioinformatics.dartmouth.edu,"C=US, O=""Entrust, Inc."", OU=www.entrust.net/rpa is incorporated by reference, OU=""(c) 2009 Entrust, Inc."", CN=Entrust Certification Authority - L1C",,,,2013-06-20T10:16:17,bioinformatics.dartmouth.edu;informatics4.dartmouth.edu,crtsh
,gsbapps-qa.stanford.edu,"C=US, O=Internet2, OU=InCommon, CN=InCommon Server CA",,,,2013-03-28T23:59:59,gsbapps-qa.stanford.edu,crtsh
,nise.kr,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-06-06T23:59:59,edu,crtsh
,devl-01.delivery.cms.vt.edu,"Virginia Tech Global Server CA, OU=Global Server CA, O=Virginia Tech, C=US",,,,2013-03-23T03:50:38,devl-01.delivery.cms.vt.edu;edu;m.stage-cms-devl.ensemble.cms.vt.edu;m.stage-cms-devl.ext.vt.edu;m.stage-cms-devl.vtnews.vt.edu;m.stage-cms-devl.www.vt.edu;stage-cms-devl.campaign.vt.edu;stage-cms-devl.cimss.vt.edu;stage-cms-devl.cnre.vt.edu;stage-cms-devl.emdl.mse.vt.edu;stage-cms-devl.ext.vt.edu;stage-cms-devl.fdi.vt.edu;stage-cms-devl.givingto.vt.edu;stage-cms-devl.marketing.pamplin.vt.edu;stage-cms-devl.offices.ext.vt.edu;stage-cms-devl.sandbox.cms.vt.edu;stage-cms-devl.stem.vt.edu;stage-cms-devl.undergraduate.vt.edu;stage-cms-devl.vtc.vt.edu;stage-cms-devl.vtnews.vt.edu;stage-cms-devl.vto.vt.edu;stage-cms-devl.www.vt.edu,crtsh
,tcwebdav.tc.columbia.edu,"C=US, O=Internet2, OU=InCommon, CN=InCommon Server CA",,,,2013-04-13T23:59:59,tcwebdav.tc.columbia.edu,crtsh
,www.elim.edu,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=PositiveSSL CA 2",,,,2013-10-11T23:59:59,elim.edu;www.elim.edu,crtsh
,login.unm.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-05-18T23:59:59,login.unm.edu,crtsh
,an.rsl.wustl.edu,"C=US, O=""GeoTrust, Inc."", CN=GeoTrust SSL CA",,,,2013-04-26T15:20:13,an.rsl.wustl.edu,crtsh
,connect.ouhsc.edu,"C=US, O=GeoTrust Inc., OU=Domain Validated SSL, CN=GeoTrust DV SSL CA",,,,2013-09-09T05:22:39,connect.ouhsc.edu,crtsh
,operator.intocareers.org,"C=IL, O=StartCom Ltd., OU=Secure Digital Certificate Signing, CN=StartCom Class 1 Primary Intermediate Server CA",,,,2013-06-25T19:19:25,ameyers@uoregon.edu,crtsh
,support.uark.edu,"C=US, O=""GeoTrust, Inc."", CN=GeoTrust SSL CA",,,,2013-11-22T19:47:24,labhelp.uark.edu;support.uark.edu,crtsh
,www.carlsonschool.umn.edu,"C=US, O=Internet2, OU=InCommon, CN=InCommon Server CA",,,,2013-05-21T23:59:59,carlsonschool.umn.edu;cms1.csom.umn.edu;cms2.csom.umn.edu;csom.umn.edu;stage.cms.csom.umn.edu;stage.www.carlsonschool.umn.edu;www.carlsonschool.umn.edu;www.csom.umn.edu,crtsh
,*.villanova.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-10-29T23:59:59,*.villanova.edu;villanova.edu,crtsh
,smapcenter.uah.edu,"C=US, O=GeoTrust Inc., OU=Domain Validated SSL, CN=GeoTrust DV SSL CA",,,,2013-07-26T18:35:40,smapcenter.uah.edu;uah.edu,crtsh
,waj.tccd.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)06, CN=VeriSign Class 3 Extended Validation SSL SGC CA",,,,2013-10-05T23:59:59,waj.tccd.edu,crtsh
,adweb.wku.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-09-21T23:59:59,adweb.wku.edu,crtsh
,lms.tamu.edu,"C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com",,,,2013-04-20T23:59:59,lms.tamu.edu,crtsh
,www.cs.cornell.edu,"C=US, O=Internet2, OU=InCommon, CN=InCommon Server CA",,,,2013-06-20T23:59:59,www.cs.cornell.edu,crtsh
,www.msmary.edu,"C=US, O=""Entrust, Inc."", OU=www.entrust.net/rpa is incorporated by reference, OU=""(c) 2009 Entrust, Inc."", CN=Entrust Certification Authority - L1C",,,,2013-06-09T17:45:48,www.msmary.edu,crtsh
,centernet.okstate.edu,"C=US, O=""GeoTrust, Inc."", CN=GeoTrust SSL CA",,,,2013-06-13T13:45:22,centernet.okstate.edu,crtsh
,kronosprod.berkeley.edu,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO High-Assurance Secure Server CA",,,,2013-07-11T23:59:59,kronosprod.berkeley.edu;www.kronosprod.berkeley.edu,crtsh
,secure.brynmawr.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-06-22T23:59:59,secure.brynmawr.edu,crtsh
,ebridge.mcw.edu,"C=US, O=Equifax, OU=Equifax Secure Certificate Authority",,,,2013-11-19T01:24:20,ebridge.mcw.edu,crtsh
,student.santarosa.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)10, CN=VeriSign Class 3 Secure Server CA - G3",,,,2013-08-29T23:59:59,student.santarosa.edu,crtsh
,jobs.harpercollege.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-11-08T12:00:00,jobs.harpercollege.edu,crtsh
,express.jfku.edu,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO SSL CA",,,,2013-12-29T23:59:59,express.jfku.edu;www.express.jfku.edu,crtsh
,umbdd.olemiss.edu,"C=US, O=""Entrust, Inc."", OU=www.entrust.net/rpa is incorporated by reference, OU=""(c) 2009 Entrust, Inc."", CN=Entrust Certification Authority - L1C",,,,2013-08-15T11:30:37,umbdd.olemiss.edu,crtsh
,intranet2.anest.wustl.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-06-25T23:59:59,intranet2.anest.wustl.edu,crtsh
,honors.byu.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-11-26T23:59:59,honors.byu.edu,crtsh
,*.grasp.upenn.edu,"C=US, O=""GeoTrust, Inc."", CN=RapidSSL CA",,,,2013-03-23T14:18:28,*.grasp.upenn.edu,crtsh
,slife.du.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-08-10T23:59:59,slife.du.edu,crtsh
,kemelin.utter-chaos.net,"C=IL, O=StartCom Ltd., OU=Secure Digital Certificate Signing, CN=StartCom Class 1 Primary Intermediate Server CA",,,,2013-12-24T06:59:38,celledge@alum.mit.edu,crtsh
,bass.bates.edu,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO High-Assurance Secure Server CA",,,,2013-10-19T23:59:59,bass.bates.edu;www.bass.bates.edu,crtsh
,moodlegroups.macalester.edu,"C=US, O=""GeoTrust, Inc."", CN=RapidSSL CA",,,,2013-07-28T22:49:57,moodlegroups.macalester.edu,crtsh
,websql.brooklyn.cuny.edu,"C=US, O=""GeoTrust, Inc."", CN=GeoTrust SSL CA",,,,2013-03-29T18:54:26,websql.brooklyn.cuny.edu,crtsh
,wiki.academyart.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)10, CN=VeriSign Class 3 International Server CA - G3",,,,2013-04-14T23:59:59,wiki.academyart.edu,crtsh
,share.nmu.edu,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO High-Assurance Secure Server CA",,,,2013-10-27T23:59:59,share.nmu.edu;www.share.nmu.edu,crtsh
,webservices.oneonta.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)10, CN=VeriSign Class 3 Secure Server CA - G3",,,,2013-10-05T23:59:59,webservices.oneonta.edu,crtsh
,type1diabetes.dom.wustl.edu,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO High-Assurance Secure Server CA",,,,2013-07-27T23:59:59,type1diabetes.dom.wustl.edu;www.type1diabetes.dom.wustl.edu,crtsh
,vpn.umes.edu,"C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com",,,,2013-10-02T23:59:59,vpn.umes.edu,crtsh
,www.sanjuan.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)10, CN=VeriSign Class 3 Secure Server CA - G3",,,,2013-06-22T23:59:59,mealapps.sanjuan.edu;www.sanjuan.edu,crtsh
,edmail.stanford.edu,"C=US, ST=UT, L=Salt Lake City, O=The USERTRUST Network, CN=USERTrust Legacy Secure Server CA",,,,2013-04-28T23:59:59,edmail.stanford.edu;School of Education;www.edmail.stanford.edu,crtsh
,www.math.drexel.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-09-18T23:59:59,math.drexel.edu;www.math.drexel.edu,crtsh
,apps.csmc.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)10, CN=VeriSign Class 3 Secure Server CA - G3",,,,2013-10-13T23:59:59,apps.csmc.edu,crtsh
,webcentral.cccneb.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)10, CN=VeriSign Class 3 Secure Server CA - G3",,,,2013-09-25T23:59:59,myccc.cccneb.edu;webcentral.cccneb.edu,crtsh
,*.rsmas.miami.edu,"C=US, ST=Arizona, L=Scottsdale, O=""GoDaddy.com, Inc."", OU=http://certificates.godaddy.com/repository, CN=Go Daddy Secure Certification Authority, serialNumber=07969287",,,,2013-11-18T12:28:52,*.rsmas.miami.edu;rsmas.miami.edu,crtsh
,www.summer.ucla.edu,"C=US, ST=Arizona, L=Scottsdale, O=""GoDaddy.com, Inc."", OU=http://certificates.godaddy.com/repository, CN=Go Daddy Secure Certification Authority, serialNumber=07969287",,,,2013-11-04T00:22:47,r.summer.ucla.edu;summer.ucla.edu;www.csst.ucla.edu;www.ieo.ucla.edu;www.specialprograms.ucla.edu;www.summer.ucla.edu,crtsh
,iupuc.edu,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO High-Assurance Secure Server CA",,,,2013-10-31T23:59:59,iupuc.edu;www.iupuc.edu,crtsh
,ssb.aucegypt.edu,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign Organization Validation CA - G2",,,,2013-11-04T09:49:59,ssb.aucegypt.edu,crtsh
,nml-23.usc.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-08-14T23:59:59,nml-23.usc.edu,crtsh
,access.coffeyville.edu,"O=VeriSign Trust Network, OU=""VeriSign, Inc."", OU=VeriSign International Server CA - Class 3, OU=www.verisign.com/CPS Incorp.by Ref. LIABILITY LTD.(c)97 VeriSign",,,,2013-08-27T23:59:59,access.coffeyville.edu,crtsh
,corvus.baker.edu,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO High-Assurance Secure Server CA",,,,2013-12-01T23:59:59,corvus.baker.edu;www.corvus.baker.edu,crtsh
,courses.cals.wisc.edu,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO High-Assurance Secure Server CA",,,,2013-11-30T23:59:59,courses.cals.wisc.edu;www.courses.cals.wisc.edu,crtsh
,irf5.capella.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)10, CN=VeriSign Class 3 Secure Server CA - G3",,,,2013-11-22T23:59:59,irf5.capella.edu,crtsh
,*.gafirst.usg.edu,"C=US, O=""GeoTrust, Inc."", CN=GeoTrust SSL CA",,,,2013-12-18T02:33:23,*.gafirst.usg.edu,crtsh
,tconnect2.templejc.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)10, CN=VeriSign Class 3 International Server CA - G3",,,,2013-11-18T23:59:59,tconnect2.templejc.edu,crtsh
,www.comm.msstate.edu,"C=IL, O=StartCom Ltd., OU=Secure Digital Certificate Signing, CN=StartCom Class 1 Primary Intermediate Server CA",,,,2013-07-31T19:38:08,msstate.edu;ssladmin@msstate.edu;www.comm.msstate.edu,crtsh
,events.law.unc.edu,"C=US, ST=UT, L=Salt Lake City, O=The USERTRUST Network, OU=http://www.usertrust.com, CN=UTN-USERFirst-Hardware",,,,2013-06-30T23:59:59,events.law.unc.edu;www.events.law.unc.edu,crtsh
,eresources.library.mssm.edu,"C=US, O=GeoTrust Inc., OU=Domain Validated SSL, CN=GeoTrust DV SSL CA",,,,2013-12-30T13:36:32,eresources.library.mssm.edu;mssm.edu,crtsh
,ecampus.blinn.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SGC CA - G2",,,,2013-06-23T23:59:59,ecampus.blinn.edu,crtsh
,myjumbo.webcenter.tufts.edu,"C=US, O=""GeoTrust, Inc."", CN=GeoTrust SSL CA",,,,2013-08-20T13:38:04,myjumbo.webcenter.tufts.edu,crtsh
,*.nwicc.edu,"C=US, O=""GeoTrust, Inc."", CN=RapidSSL CA",,,,2013-10-26T12:25:12,*.nwicc.edu;nwicc.edu,crtsh
,owa.emerson.edu,"C=US, O=""Entrust, Inc."", OU=www.entrust.net/rpa is incorporated by reference, OU=""(c) 2009 Entrust, Inc."", CN=Entrust Certification Authority - L1C",,,,2013-04-01T14:56:29,autodiscover.emerson.edu;blizzard.emerson.edu;owa.emerson.edu;rain.emerson.edu,crtsh
,tk20.umf.maine.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-07-26T23:59:59,tk20.umf.maine.edu,crtsh
,my.park.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-11-13T12:00:00,my.park.edu,crtsh
,ccoetest.umdnj.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)10, CN=VeriSign Class 3 Secure Server CA - G3",,,,2013-08-30T23:59:59,ccoetest.umdnj.edu,crtsh
,aceweb.uas.alaska.edu,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO High-Assurance Secure Server CA",,,,2013-12-12T23:59:59,aceweb.uas.alaska.edu;www.aceweb.uas.alaska.edu,crtsh
,ssl-itll.colorado.edu,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO High-Assurance Secure Server CA",,,,2013-08-09T23:59:59,ssl-itll.colorado.edu;www.ssl-itll.colorado.edu,crtsh
,webmail.bhcc.edu,"C=US, O=""GeoTrust, Inc."", CN=GeoTrust SSL CA",,,,2013-11-10T02:33:04,autodiscover.bhcc.edu;autodiscover.bhcc.mass.edu;legacy.bhcc.edu;legacy.bhcc.mass.edu;webmail.bhcc.edu;webmail.bhcc.mass.edu,crtsh
,secure.sendit.nodak.edu,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign Organization Validation CA - G2",,,,2013-11-02T21:33:21,secure.sendit.nodak.edu,crtsh
,Webapps2.cortland.edu,"C=US, O=""Entrust, Inc."", OU=www.entrust.net/rpa is incorporated by reference, OU=""(c) 2009 Entrust, Inc."", CN=Entrust Certification Authority - L1C",,,,2013-10-20T22:54:33,Webapps2.cortland.edu,crtsh
,titanadmin2.uwosh.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-07-11T23:59:59,titanadmin2.uwosh.edu,crtsh
,media.mjc.edu,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO High-Assurance Secure Server CA",,,,2013-09-14T23:59:59,media.mjc.edu;www.media.mjc.edu,crtsh
,jobs.usu.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-11-13T12:00:00,jobs.usu.edu,crtsh
,ubisss.buffalo.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)10, CN=VeriSign Class 3 Secure Server CA - G3",,,,2013-05-20T23:59:59,ubisss.buffalo.edu,crtsh
,secure.med.und.edu,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign Organization Validation CA - G2",,,,2013-05-09T13:03:04,secure.med.und.edu,crtsh
,strategicplanningforum.brandeis.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-05-05T23:59:59,strategicplanningforum.brandeis.edu,crtsh
,mail.mnstate.edu,"C=US, ST=UT, L=Salt Lake City, O=The USERTRUST Network, CN=USERTrust Legacy Secure Server CA",,,,2013-12-01T23:59:59,autodiscover.mnstate.edu;dragonmail.mnstate.edu;exchange.mnstate.edu;ht-cas.mnstate.edu;legacy.mnstate.edu;mail.mnstate.edu;webmail.mnstate.edu,crtsh
,estudent.husson.edu,"C=US, ST=Arizona, L=Scottsdale, O=""GoDaddy.com, Inc."", OU=http://certificates.godaddy.com/repository, CN=Go Daddy Secure Certification Authority, serialNumber=07969287",,,,2013-09-08T18:36:41,estudent.husson.edu;www.estudent.husson.edu,crtsh
,genesis4.genesee.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-07-30T23:59:59,genesis4.genesee.edu,crtsh
,www.gtevents.gatech.edu,"C=US, O=""GeoTrust, Inc."", CN=GeoTrust SSL CA",,,,2013-09-22T11:46:54,www.gtevents.gatech.edu,crtsh
,myhealth.eiu.edu,"C=US, O=""Entrust, Inc."", OU=www.entrust.net/rpa is incorporated by reference, OU=""(c) 2009 Entrust, Inc."", CN=Entrust Certification Authority - L1C",,,,2013-05-03T10:30:20,myhealth.eiu.edu,crtsh
,*.saintjoe.edu,"C=ES, ST=MADRID, L=MADRID, O=ips Certification Authority, OU=Certificaciones, CN=ipsCA Level 1 CA, emailAddress=ipscalevel1@ipsca.com",,,,2013-10-18T07:39:46,*.saintjoe.edu;webmaster@saintjoe.edu,crtsh
,helpdesk.oregonstate.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-11-11T23:59:59,helpdesk.oregonstate.edu,crtsh
,www.mesacc.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-08-27T23:59:59,www.mesacc.edu,crtsh
,uncjobs.northcarolina.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-06-13T12:00:00,uncjobs.northcarolina.edu,crtsh
,scmoodle.spfldcol.edu,"C=US, O=""GeoTrust, Inc."", CN=GeoTrust SSL CA",,,,2013-03-25T09:05:39,scmoodle.spfldcol.edu;scmoodle.springfieldcollege.edu,crtsh
,jobs.sfcc.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-11-06T12:00:00,jobs.sfcc.edu,crtsh
,email.buffalo.edu,"C=US, ST=UT, L=Salt Lake City, O=The USERTRUST Network, OU=http://www.usertrust.com, CN=UTN-USERFirst-Hardware",,,,2013-08-13T23:59:59,email.buffalo.edu;www.email.buffalo.edu,crtsh
,webmail.ceibs.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)10, CN=VeriSign Class 3 International Server CA - G3",,,,2013-09-28T23:59:59,autodiscover.ceibs.edu;chogori.ceibs.edu;chooyo.ceibs.edu;kanchenjunga.ceibs.edu;legacy.ceibs.edu;webmail.ceibs.edu,crtsh
,music.yale.edu,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=PositiveSSL CA 2",,,,2013-10-02T23:59:59,music.yale.edu;www.music.yale.edu,crtsh
,intranet.law.vanderbilt.edu,"C=US, O=""GeoTrust, Inc."", CN=GeoTrust SSL CA",,,,2013-06-09T14:36:37,intranet.law.vanderbilt.edu,crtsh
,www.hawken.edu,"C=US, O=""Thawte, Inc."", OU=Domain Validated SSL, CN=Thawte DV SSL CA",,,,2013-08-28T23:59:59,www.hawken.edu,crtsh
,engineering.osu.edu,"C=US, O=Internet2, OU=InCommon, CN=InCommon Server CA",,,,2013-10-22T23:59:59,aerosollab.osu.edu;aerospace.osu.edu;apel.osu.edu;asee.osu.edu;bme.osu.edu;bpte.osu.edu;camm.osu.edu;cbe.osu.edu;ccem.osu.edu;ccp.osu.edu;ceaa.osu.edu;ceg.osu.edu;cemas.osu.edu;chppe.osu.edu;coham.osu.edu;ece.osu.edu;ecos.osu.edu;ec.osu.edu;ecs.osu.edu;eeic.osu.edu;*.engineering.osu.edu;engineering.osu.edu;ergonomics.osu.edu;esri.osu.edu;hboc.osu.edu;hvpe.osu.edu;ise.osu.edu;mae.osu.edu;mse.osu.edu;nano.osu.edu;nsec.osu.edu;omi.osu.edu;osemagazine.osu.edu;peem.osu.edu;ppc.osu.edu;pse.osu.edu;reactor.osu.edu;sdm.osu.edu;seo.osu.edu;spinlab.osu.edu;swe.osu.edu;transitlab.osu.edu;*.web.engadmin.ohio-state.edu;web.engadmin.ohio-state.edu;wie.osu.edu,crtsh
,muvpn02.marshall.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-06-04T23:59:59,muvpn02.marshall.edu,crtsh
,emsws.memphis.edu,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO High-Assurance Secure Server CA",,,,2013-03-22T23:59:59,emsws.memphis.edu;www.emsws.memphis.edu,crtsh
,teams.graduateschool.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)06, CN=VeriSign Class 3 Extended Validation SSL SGC CA",,,,2013-06-26T23:59:59,teams.graduateschool.edu,crtsh
,jobs.wcu.edu,"C=US, O=Equifax, OU=Equifax Secure Certificate Authority",,,,2013-08-15T14:42:46,jobs.wcu.edu,crtsh
,openid.et-test.psu.edu,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO High-Assurance Secure Server CA",,,,2013-12-06T23:59:59,openid.et-test.psu.edu;www.openid.et-test.psu.edu,crtsh
,quickadmit.cf.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-08-21T23:59:59,quickadmit.cf.edu,crtsh
,housingportal.columbia.edu,"C=US, O=Internet2, OU=InCommon, CN=InCommon Server CA",,,,2013-06-07T23:59:59,housingportal.columbia.edu,crtsh
,sf-vm-web-003.serverfarm.cornell.edu,"C=US, O=Internet2, OU=InCommon, CN=InCommon Server CA",,,,2013-08-27T23:59:59,ahdc.vet.cornell.edu;faculty-test.vet.cornell.edu;faculty.vet.cornell.edu;secure-test.vet.cornell.edu;secure.vet.cornell.edu;sf-vm-web-003.serverfarm.cornell.edu;students-test.vet.cornell.edu;students.vet.cornell.edu;web.vet.cornell.edu;www.vet.cornell.edu,crtsh
,rms-stuweb.ad.fiu.edu,"C=US, ST=UT, L=Salt Lake City, O=The USERTRUST Network, OU=http://www.usertrust.com, CN=UTN-USERFirst-Hardware",,,,2013-11-28T23:59:59,rms-stuweb.ad.fiu.edu;www.rms-stuweb.ad.fiu.edu,crtsh
,*.highland.edu,"C=US, O=""GeoTrust, Inc."", CN=GeoTrust SSL CA",,,,2013-12-21T18:02:55,*.highland.edu;highland.edu,crtsh
,ciceet.unh.edu,"C=US, O=""GeoTrust, Inc."", CN=RapidSSL CA",,,,2013-05-25T15:59:57,ciceet.unh.edu,crtsh
,degreeworksuaa.alaska.edu,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO High-Assurance Secure Server CA",,,,2013-12-06T23:59:59,degreeworksuaa.alaska.edu;www.degreeworksuaa.alaska.edu,crtsh
,mail.babson.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-08-27T23:59:59,mail.babson.edu,crtsh
,www.survey.oira.ua.edu,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO SSL CA",,,,2013-05-02T23:59:59,survey.oira.ua.edu;www.survey.oira.ua.edu,crtsh
,www.engr.uky.edu,"C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com",,,,2013-03-31T23:59:59,www.engr.uky.edu,crtsh
,webmail.augsburg.edu,"C=US, ST=Arizona, L=Scottsdale, O=""GoDaddy.com, Inc."", OU=http://certificates.godaddy.com/repository, CN=Go Daddy Secure Certification Authority, serialNumber=07969287",,,,2013-07-26T16:43:20,webmail.augsburg.edu;www.webmail.augsburg.edu,crtsh
,www.cravencc.edu,"C=ES, ST=MADRID, L=MADRID, O=ips Certification Authority, OU=Certificaciones, CN=ipsCA Level 1 CA, emailAddress=ipscalevel1@ipsca.com",,,,2013-11-14T21:02:11,www.cravencc.edu,crtsh
,my.belmont.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-07-12T23:59:59,my.belmont.edu,crtsh
,cflegacy.research.umn.edu,"C=US, O=Internet2, OU=InCommon, CN=InCommon Server CA",,,,2013-11-02T23:59:59,cflegacy.research.umn.edu,crtsh
,intranet.theresialyceum.nl,"C=US, ST=UT, L=Salt Lake City, O=The USERTRUST Network, CN=USERTrust Legacy Secure Server CA",,,,2013-10-13T23:59:59,Edu-Beheer,crtsh
,portal2.tri-c.edu,"C=US, ST=Arizona, L=Scottsdale, O=""GoDaddy.com, Inc."", OU=http://certificates.godaddy.com/repository, CN=Go Daddy Secure Certification Authority, serialNumber=07969287",,,,2013-09-24T18:09:32,portal2.tri-c.edu;www.portal2.tri-c.edu,crtsh
,stcitrix1.maricopa.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)10, CN=VeriSign Class 3 Secure Server CA - G3",,,,2013-04-30T23:59:59,stcitrix1.maricopa.edu,crtsh
,hr.healthcare.uci.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-11-02T23:59:59,hr.healthcare.uci.edu,crtsh
